Founded Year | Company                                  | Headquarters                       
1997         | FirstEnergy                              | Akron, Ohio                        
1997         | GoDaddy                                  | Tempe, Arizona                     
1997         | KLA Corporation                          | Milpitas, California               
1997         | Kinder Morgan                            | Houston, Texas                     
1997         | Monolithic Power Systems                 | Kirkland, Washington               
1997         | Netflix                                  | Los Gatos, California              
1997         | Quanta Services                          | Houston, Texas                     
1997         | Royal Caribbean Group                    | Miami, Florida                     
1997         | United Rentals                           | Stamford, Connecticut              
1997         | Yum! Brands                              | Louisville, Kentucky               
1998         | Akamai Technologies                      | Cambridge, Massachusetts           
1998         | Alphabet Inc. (Class A)                  | Mountain View, California          
1998         | Alphabet Inc. (Class C)                  | Mountain View, California          
1998         | Bank of America                          | Charlotte, North Carolina          
1998         | Builders FirstSource                     | Irving, Texas                      
1998         | Citigroup                                | New York City, New York            
1998         | Equinix                                  | Redwood City, California           
1998         | Lululemon Athletica                      | Vancouver, Canada                  
1998         | PayPal                                   | San Jose, California               
1998         | Sempra                                   | San Diego, California              
1998         | Ventas                                   | Chicago, Illinois                  
1999         | Agilent Technologies                     | Santa Clara, California            
1999         | Constellation Energy                     | Baltimore, Maryland                
1999         | Dexcom                                   | San Diego, California              
1999         | EOG Resources                            | Houston, Texas                     
1999         | ExxonMobil                               | Irving, Texas                      
1999         | First Solar                              | Tempe, Arizona                     
1999         | ON Semiconductor                         | Phoenix, Arizona                   
1999         | Salesforce                               | San Francisco, California          
2000         | Corpay                                   | Atlanta, Georgia                   
2000         | Exelon                                   | Chicago, Illinois                  
2000         | Fortinet                                 | Sunnyvale, California              
2000         | Global Payments                          | Atlanta, Georgia                   
2000         | Insulet Corporation                      | Acton, Massachusetts               
2000         | Intercontinental Exchange                | Atlanta, Georgia                   
2000         | JPMorgan Chase                           | New York City, New York            
2002         | ConocoPhillips                           | Houston, Texas                     
2002         | Skyworks Solutions                       | Irvine, California                 
2002         | Wynn Resorts                             | Paradise, Nevada                   
2003         | Palantir Technologies                    | Aventura, Florida                  
2003         | ServiceNow                               | Santa Clara, California            
2003         | Simon Property Group                     | Indianapolis, Indiana              
2003         | Synchrony Financial                      | Stamford, Connecticut              
2003         | Tesla, Inc.                              | Austin, Texas                      
2004         | Arista Networks                          | Santa Clara, California            
2004         | Digital Realty                           | Austin, Texas                      
2004         | Meta Platforms                           | Menlo Park, California             
2004         | Mosaic Company (The)                     | Tampa, Florida                     
2005         | Molson Coors Beverage Company            | Chicago, Illinois                  
2005         | Palo Alto Networks                       | Santa Clara, California            
2005         | Targa Resources                          | Houston, Texas                     
2005         | Workday, Inc.                            | Pleasanton, California             
2007         | Diamondback Energy                       | Midland, Texas                     
2007         | LyondellBasell                           | Rotterdam, Netherlands             
2007         | TE Connectivity                          | Galway, Ireland                    
2007         | Veeva Systems                            | Pleasanton, California             
2008         | Airbnb                                   | San Francisco, California          
2008         | EchoStar                                 | Englewood, Colorado                
2009         | Block, Inc.                              | none                               
2009         | Trade Desk (The)                         | Ventura, California                
2009         | Uber                                     | San Francisco, California          
2010         | Datadog                                  | New York City, New York            
2010         | Live Nation Entertainment                | Beverly Hills, California          
2010         | Moderna                                  | Cambridge, Massachusetts           
2011         | CrowdStrike                              | Austin, Texas                      
2011         | Huntington Ingalls Industries            | Newport News, Virginia             
2011         | Motorola Solutions                       | Chicago, Illinois                  
2011         | Xylem Inc.                               | White Plains, New York             
2012         | AppLovin                                 | Palo Alto, California              
2012         | Carvana                                  | Tempe, Arizona                     
2012         | Coinbase                                 | New York City, New York            
2012         | DoorDash                                 | San Francisco, California          
2012         | Invitation Homes                         | Dallas, Texas                      
2012         | Mondelez International                   | Chicago, Illinois                  
2013         | News Corp (Class A)                      | New York City, New York            
2013         | News Corp (Class B)                      | New York City, New York            
2013         | Robinhood Markets                        | Menlo Park, California             
2015         | HP Inc.                                  | Palo Alto, California              
2015         | Hewlett Packard Enterprise               | Houston, Texas                     
2015         | Lumentum                                 | San Jose, California               
2016         | Dell Technologies                        | Round Rock, Texas                  
2016         | Fortive                                  | Everett, Washington                
2016         | Vertiv                                   | Westerville, Ohio                  
2016         | Vistra Corp.                             | Irving, Texas                      
2016         | Willis Towers Watson                     | London, United Kingdom             
2017         | Baker Hughes                             | Houston, Texas                     
2017         | Tapestry, Inc.                           | New York City, New York            
2017         | Vici Properties                          | New York City, New York            
2019         | Corteva                                  | Indianapolis, Indiana              
2019         | Fox Corporation (Class A)                | New York City, New York            
2019         | Fox Corporation (Class B)                | New York City, New York            
2019         | L3Harris                                 | Melbourne, Florida                 
2020         | Carrier Global                           | Palm Beach Gardens, Florida        
2020         | Otis Worldwide                           | Farmington, Connecticut            
2022         | Kenvue                                   | Skillman, New Jersey               
2022         | Warner Bros. Discovery                   | New York City, New York            
2023         | Solventum                                | Saint Paul, Minnesota              
2023         | TKO Group Holdings                       | New York City, New York            
2023         | Veralto                                  | Waltham, Massachusetts             
2024         | GE Vernova                               | Cambridge, Massachusetts           
2025         | Paramount Skydance Corporation           | Los Angeles, California            
2025         | Qnity Electronics                        | Wilmington, Delaware               
